hip,ra,dec,Vmag
4719,15.14719273,-36.23824549,6.99
4726,15.16835041,-1.65862442,6.85
4770,15.32614858,-38.91652735,5.59
4771,15.32926632,45.45205054,6.86
4772,15.32929969,-60.86014803,6.91
4786,15.36268397,49.54422003,6.48
4789,15.37560243,69.35852146,6.67
4794,15.39240077,-38.21477289,6.61
4801,15.4110198,-16.2655732,6.47
4809,15.43158967,25.29221892,6.71
4811,15.4408169,57.8166956,6.77
4829,15.50758668,-57.00238911,6.12
4834,15.53194442,56.32867244,6.71
4843,15.57684897,81.8755753,6.9
4844,15.57693735,51.03493798,6.48
4852,15.61013832,-31.55200512,5.5
4868,15.6484221,27.74795144,6.88
4878,15.67767646,9.13295523,6.83
4879,15.67877774,-65.45610182,6.25
4889,15.70457184,31.8042629,5.5
4890,15.70495781,-46.39731137,5.39
4902,15.7241325,51.79809322,6.84
4903,15.7260945,41.34515741,5.95
4906,15.73586845,7.89013546,4.27
4911,15.75644601,47.37615789,6.46
4914,15.76056716,-4.8366006,5.4
4932,15.82373101,-29.52584808,6.28
4934,15.82459175,-60.09748745,6.81
4935,15.82730209,-41.02111028,6.99
4962,15.90419046,61.07482263,5.92
4961,15.90437056,58.90921716,6.75
4965,15.91578936,84.60687916,6.74
4979,15.95428389,1.36684626,6.06
4983,15.97232775,47.64229507,6.82
4998,16.00995611,52.50216085,5.99
5016,16.06916853,54.20424607,6.84
5021,16.08104573,61.58018388,5.83
5026,16.09981736,-47.94033912,6.84
5034,16.11511217,29.65880635,6.2
5042,16.1357384,-33.53284519,6.44
5045,16.15191382,39.99111016,6.77
5062,16.19499708,51.00978089,6.53
5070,16.20798822,74.37212554,6.82
5074,16.21932253,5.65626169,6.03
5081,16.27231523,14.94613348,5.64
5121,16.40367757,-9.9793227,6.09
5131,16.42064722,21.47318139,5.33
5132,16.42379923,21.46544248,5.55
5141,16.45512117,4.90837207,6.35
5165,16.5210284,-46.71841361,3.32
5164,16.52145155,-9.83935413,5.58
5169,16.52645721,-10.98544472,6.84
5170,16.53209824,-23.9924507,6.12
5175,16.54667055,32.18148534,6.28
5186,16.59507244,62.76138907,6.52
5193,16.6107458,-35.66066496,6.61
5198,16.61538947,-39.85627773,6.64
5204,16.64011159,12.95603948,6.14
5209,16.65677425,8.36003927,6.93
5232,16.72504128,59.85860879,6.87
5233,16.72969709,70.93139996,6.63
5240,16.75072472,56.93497242,6.41
5248,16.7799596,20.15107753,6.99
5251,16.78940869,53.49818511,6.31
5259,16.80384694,-23.99633362,6.36
5262,16.80786702,49.55544632,6.81
5268,16.82776521,-61.77528929,5.36
5296,16.94253562,-9.78555038,5.71
5300,16.94938882,-41.48691608,5.21
5310,16.98818032,20.73911258,5.56
5315,16.99860045,1.99304185,6.44
5317,17.00353724,43.94209203,5.04
5319,17.00560185,32.01212987,6.23
5336,17.06830755,54.92033969,5.17
5339,17.06391663,28.86793935,6.86
5344,17.09098791,9.90819687,6.71
5346,17.09249309,5.64981907,5.51
5348,17.09617396,-55.24576016,3.94
5361,17.13944472,58.26344926,5.77
5363,17.14097244,-46.66798203,6.89
5364,17.1474649,-10.18226422,3.46
5372,17.18698865,86.25709041,4.24
5412,17.30078662,80.01157941,6.24
5414,17.30447414,69.68652392,6.93
5434,17.37552272,47.24179245,4.26
5440,17.39563023,57.34999672,6.65
5444,17.41312203,23.7942364,6.65
5447,17.43301493,35.6205577,2.07
5454,17.45500808,19.6584081,5.57
5458,17.46776862,54.73896505,6.75
5465,17.48724255,33.88144587,6.97
5477,17.53072382,-57.69441869,6.41
5483,17.54767187,15.67391168,6.07
5485,17.54977946,-8.90613526,6.4
5488,17.56487853,-56.86296227,6.98
5493,17.57808507,42.08147491,5.67
5494,17.58104718,25.45776341,5.81
5510,17.63980105,2.44566968,5.97
5512,17.64298059,51.01333185,6.9
5518,17.66384307,68.7786208,5.32
5531,17.71143802,67.78009511,6.55
5542,17.77567508,55.14990064,4.34
5544,17.77819712,31.42473633,5.15
5550,17.79282306,37.72412122,5.8
5551,17.79407578,46.18385202,6.6
5566,17.85654762,64.20267697,5.56
5571,17.8634175,21.03465004,4.66
5575,17.87071779,10.29190822,6.49
5586,17.9151534,30.08963821,4.51
5589,17.92250739,65.01885377,5.57
5594,17.93128664,-2.25107885,5.93
5626,18.07008876,79.67396298,5.6
5631,18.07979004,12.28182117,6.89
5636,18.0971573,-30.80212804,6.54
5646,18.12768268,2.47157866,6.55
5650,18.1420055,45.33753089,6.13
5661,18.18930355,-37.85647867,5.95
5665,18.19466429,-35.2055616,6.97
5666,18.19874431,-6.78337496,6.59
5679,18.24780802,30.06422933,6.24
5688,18.29105485,61.70618828,6.4
5694,18.31744294,34.09840343,6.73
5717,18.38652845,29.73622902,6.74
5737,18.4328572,7.57535376,5.21
5742,18.4372798,24.58371315,4.67
5743,18.43860703,7.57826124,6.44
5764,18.50496334,-13.47525368,6.88
5772,18.5204462,28.52957493,6.33
5778,18.53179007,16.13347858,5.97
5799,18.60016589,-7.92282573,5.14
5824,18.67663261,6.99513614,6.04
5833,18.70488336,-0.97379475,5.7
5862,18.79633762,-45.53166422,4.97
5878,18.867825,20.414543,6.99
5886,18.89853717,0.91245524,6.71
5896,18.94233654,-68.87592733,4.25
5914,19.02095773,25.76935772,6.76
5926,19.04957827,71.74384251,5.87
5927,19.05018239,-42.00971619,6.58
5928,19.05495872,87.14549616,6.2
5936,19.07884113,33.11472008,6.04
5939,19.10205257,48.08224546,6.61
5942,19.11570543,23.58945879,6.69
5943,19.12124902,-67.43103276,6.91
5944,19.12188742,42.93941974,6.59
5947,19.12865668,79.91001284,6.27
5951,19.15119996,-2.50036823,5.42
5985,19.2458596,-2.27915998,6.52
5992,19.26566029,-66.39785419,6.23
5993,19.27109903,44.90199225,6.11
6010,19.31917963,39.48054089,6.69
6025,19.35046983,31.74461718,6.36
6027,19.35954867,57.63208014,6.86
6039,19.39595252,-65.21177276,6.92
6047,19.42406723,44.63191385,6.78
6048,19.42652148,-7.65950499,6.8
6057,19.43883392,56.63159408,6.68
6060,19.44992365,49.0084451,6.99
6061,19.44981588,3.61446601,5.13
6087,19.54228558,47.41970605,6.29
6093,19.5578487,57.80316577,6.39
6099,19.57774733,67.81642109,6.68
6133,19.67604356,72.87791536,6.99
6137,19.68401061,-43.3329163,6.78
6139,19.69169523,72.40143341,6.87
6140,19.69587212,37.38627482,6.44
6193,19.86664622,27.26405858,4.74
6198,19.871983,80.89421325,6.7
6226,19.9512302,-0.50902871,5.87
