source_id,plx,g,b,r,teff
3540577563432890368,14.363977865597024,10.828527,11.426807,10.093586,4600.0005
3540859141488726016,11.486426812695099,7.7064915,7.9542465,7.2983932,6207.204
3541020872776992384,10.53479734149857,8.242868,8.441597,7.891985,6609.317
3541029668869828096,9.676514762834767,9.3598585,9.667074,8.88168,5804.0894
3541196794637387136,10.127840201460272,9.073752,9.347303,8.63597,6044.576
3541256614941896960,2.965985233122178,7.23557,7.9578857,6.411408,4222.789
3541472291019531520,5.958460387124705,7.8477187,8.080784,7.4509673,6250.893
3541552452289445888,3.3973944652952768,8.920135,9.411419,8.262424,5125.7715
3541586743308424576,6.044931389388738,7.8777375,7.9454527,7.7269354,8567.444
3541741499569783936,16.686720790319733,9.656641,10.083351,9.061686,5085.0503
3542246519004044416,4.7133707636510085,8.165346,8.266381,7.9557424,7625.3887
3542459686821115136,10.645977920516021,6.832999,6.8868437,6.700827,9613.722
3542668765828544000,7.053985838577075,9.128295,9.406259,8.684117,5981.458
3543002639407710720,7.405122655239191,8.053261,8.242816,7.7154293,6673.259
3543041809509098112,8.23735033815575,7.373673,7.4988065,7.122234,7351.8384
3543279991215013120,13.226492244339159,5.9588866,6.4384,5.3067336,4920.5537
3543326136341945728,3.5858850330905034,6.3715544,7.3092465,5.4114475,4648.9316
3543399700543524096,2.2291587051771513,8.418763,8.940394,7.741939,4823.9844
3543404167309462272,17.633799412931417,8.019953,8.288995,7.581744,5994.5845
3543417739406134912,6.894805088662267,7.875922,8.004986,7.632876,7328.165
3543547241259891072,4.689768461141606,8.470715,8.946747,7.826633,5171.7534
3543910904731319680,3.166216746674053,8.204423,8.725744,7.52184,5068.826
3544368061050408704,5.725282473453781,8.066363,8.249722,7.738644,6772.4893
3544391803629627136,5.418006166026728,6.8750315,6.860007,6.8735566,10368.731
3544563911558335360,2.1208569789898983,7.963407,8.677017,7.145232,4541.1094
3544724680774863488,9.065664976696349,7.468369,7.5447073,7.2994075,7940.8467
3544976194059136768,14.537573352276729,7.7586803,7.977762,7.379911,6380.453
3545372739799500800,3.215573684197547,8.431351,8.90851,7.7879186,5069.16
3545536085996521728,7.180624627936528,8.023892,8.193893,7.7115192,6812.2876
3545618033972573696,7.7522373644372715,8.022917,8.270163,7.606943,6251.6
3545816839418065152,2.0225851163493496,8.854978,9.441542,8.126235,4475.2266
3545915417508215936,7.710246103117874,8.941114,9.140554,8.590727,6616.959
3546139236843454464,3.9097504696425402,7.312193,7.796414,6.6629534,4903.8936
3546146349307284736,9.023520098224061,6.98793,7.102421,6.757706,7444.123
3546179845757654912,5.175424246297396,8.531406,8.599815,8.386713,8039.4126
3546443664123407360,3.9667264012195966,7.4959445,8.004337,6.8232164,5064.546
3546989331130079104,11.546150405614203,10.077341,10.460681,9.524642,5535.2334
3547363646119764224,3.144157454577552,8.562448,9.073652,7.8878465,5022.6616
3547532038901221632,15.531761314378246,8.627425,8.971794,8.112925,5594.4995
3547915223000134144,12.78836407408549,6.954088,7.226638,6.5145483,5967.008
3547944531854903168,43.08994439990872,10.621315,11.689312,9.592945,3622.7166
3548340149884360704,11.678792008961379,8.381084,8.637481,7.951981,6060.8613
3548667048435808640,14.575522265177097,8.296698,8.562487,7.8633194,6039.7466
3548751745190546432,14.567172362781445,7.951927,8.190283,7.5486717,6239.452
3548758170461661440,5.401422593326174,8.398601,8.662071,7.9665904,6097.6963
3549110392137667072,3.021511087941171,8.392903,8.4915495,8.174075,10222.671
3549727974076569856,10.27586698801026,7.3854427,7.584558,7.032749,6558.736
3549920354251451136,5.457871440329615,8.084547,8.180576,7.891216,7657.783
3550081879381593728,29.831052277476214,8.166853,8.571257,7.592982,5187.663
3550084490721711872,29.799400117914608,9.504441,10.139174,8.742051,4433.2266
3550148743432500992,27.875802922606443,7.68236,8.031214,7.162825,5563.468
3550452998916203392,7.096382063131851,8.172701,8.300863,7.9268384,7331.219
3550676715172457856,4.149172114381827,8.884459,9.136638,8.468367,6291.414
3550728564017680000,3.098540931404837,9.250651,9.337563,9.072946,9461.215
3550859749498857472,21.179702093447553,10.219839,10.865275,9.452536,4473.836
3550986021537860224,7.818920524717059,7.887101,7.986631,7.6840954,7648.7627
3551002857809958400,33.23268780196385,5.111522,5.3496094,4.695397,6225.6533
3551083809353119104,3.6002975551325247,7.7147427,8.252982,7.0230403,4820.3257
3551358790338486400,17.160583784630635,7.9767,8.252865,7.5295076,5945.897
3551605321461115264,8.250419446171087,7.9990582,8.292715,7.534707,5842.128
3551645831592712960,7.069193603981849,6.60985,6.7013516,6.418525,7662.3037
3551697646078814336,5.673236308567572,7.956626,8.049348,7.764338,7775.908
3551737262857015808,3.614714300597909,7.8636594,8.3564205,7.1994257,5462.2905
